time,open,high,low,close
1995-07-05,5.51,5.51,5.51,5.51
1995-07-06,5.37,5.37,5.37,5.37
1995-07-07,5.38,5.38,5.38,5.38
1995-07-10,5.36,5.36,5.36,5.36
1995-07-11,5.39,5.39,5.39,5.39
1995-07-12,5.38,5.38,5.38,5.38
1995-07-13,5.39,5.39,5.39,5.39
1995-07-14,5.43,5.43,5.43,5.43
1995-07-17,5.45,5.45,5.45,5.45
1995-07-18,5.44,5.44,5.44,5.44
1995-07-19,5.41,5.41,5.41,5.41
1995-07-20,5.43,5.43,5.43,5.43
1995-07-21,5.44,5.44,5.44,5.44
1995-07-24,5.44,5.44,5.44,5.44
1995-07-25,5.45,5.45,5.45,5.45
1995-07-26,5.46,5.46,5.46,5.46
1995-07-27,5.41,5.41,5.41,5.41
1995-07-28,5.42,5.42,5.42,5.42
1995-07-31,5.42,5.42,5.42,5.42
1995-08-01,5.44,5.44,5.44,5.44
1995-08-02,5.42,5.42,5.42,5.42
1995-08-03,5.42,5.42,5.42,5.42
1995-08-04,5.41,5.41,5.41,5.41
1995-08-07,5.4,5.4,5.4,5.4
1995-08-08,5.38,5.38,5.38,5.38
1995-08-09,5.39,5.39,5.39,5.39
1995-08-10,5.4,5.4,5.4,5.4
1995-08-11,5.42,5.42,5.42,5.42
1995-08-14,5.43,5.43,5.43,5.43
1995-08-15,5.45,5.45,5.45,5.45
1995-08-16,5.43,5.43,5.43,5.43
1995-08-17,5.44,5.44,5.44,5.44
1995-08-18,5.44,5.44,5.44,5.44
1995-08-21,5.45,5.45,5.45,5.45
1995-08-22,5.46,5.46,5.46,5.46
1995-08-23,5.43,5.43,5.43,5.43
1995-08-24,5.36,5.36,5.36,5.36
1995-08-25,5.34,5.34,5.34,5.34
1995-08-28,5.31,5.31,5.31,5.31
1995-08-29,5.34,5.34,5.34,5.34
1995-08-30,5.3,5.3,5.3,5.3
1995-08-31,5.29,5.29,5.29,5.29
1995-09-01,5.29,5.29,5.29,5.29
1995-09-05,5.31,5.31,5.31,5.31
1995-09-06,5.32,5.32,5.32,5.32
1995-09-07,5.34,5.34,5.34,5.34
1995-09-08,5.36,5.36,5.36,5.36
1995-09-11,5.35,5.35,5.35,5.35
1995-09-12,5.31,5.31,5.31,5.31
1995-09-13,5.31,5.31,5.31,5.31
1995-09-14,5.28,5.28,5.28,5.28
1995-09-15,5.3,5.3,5.3,5.3
1995-09-18,5.29,5.29,5.29,5.29
1995-09-19,5.2,5.2,5.2,5.2
1995-09-20,5.18,5.18,5.18,5.18
1995-09-21,5.24,5.24,5.24,5.24
1995-09-22,5.19,5.19,5.19,5.19
1995-09-25,5.24,5.24,5.24,5.24
1995-09-26,5.29,5.29,5.29,5.29
1995-09-27,5.26,5.26,5.26,5.26
1995-09-28,5.28,5.28,5.28,5.28
1995-09-29,5.24,5.24,5.24,5.24
1995-10-02,5.26,5.26,5.26,5.26
1995-10-03,5.35,5.35,5.35,5.35
1995-10-04,5.31,5.31,5.31,5.31
1995-10-05,5.28,5.28,5.28,5.28
1995-10-06,5.31,5.31,5.31,5.31
1995-10-10,5.29,5.29,5.29,5.29
1995-10-11,5.31,5.31,5.31,5.31
1995-10-12,5.3,5.3,5.3,5.3
1995-10-13,5.29,5.29,5.29,5.29
1995-10-16,5.32,5.32,5.32,5.32
1995-10-17,5.27,5.27,5.27,5.27
1995-10-18,5.25,5.25,5.25,5.25
1995-10-19,5.25,5.25,5.25,5.25
1995-10-20,5.27,5.27,5.27,5.27
1995-10-23,5.27,5.27,5.27,5.27
1995-10-24,5.22,5.22,5.22,5.22
1995-10-25,5.23,5.23,5.23,5.23
1995-10-26,5.22,5.22,5.22,5.22
1995-10-27,5.25,5.25,5.25,5.25
1995-10-30,5.28,5.28,5.28,5.28
1995-10-31,5.32,5.32,5.32,5.32
1995-11-01,5.32,5.32,5.32,5.32
1995-11-02,5.31,5.31,5.31,5.31
1995-11-03,5.31,5.31,5.31,5.31
1995-11-06,5.34,5.34,5.34,5.34
1995-11-07,5.37,5.37,5.37,5.37
1995-11-08,5.36,5.36,5.36,5.36
1995-11-09,5.39,5.39,5.39,5.39
1995-11-10,5.42,5.42,5.42,5.42
1995-11-13,5.42,5.42,5.42,5.42
1995-11-14,5.38,5.38,5.38,5.38
1995-11-15,5.39,5.39,5.39,5.39
1995-11-16,5.36,5.36,5.36,5.36
1995-11-17,5.35,5.35,5.35,5.35
1995-11-20,5.35,5.35,5.35,5.35
1995-11-21,5.36,5.36,5.36,5.36
1995-11-22,5.36,5.36,5.36,5.36
1995-11-24,5.32,5.32,5.32,5.32
1995-11-27,5.34,5.34,5.34,5.34
1995-11-28,5.37,5.37,5.37,5.37
1995-11-29,5.34,5.34,5.34,5.34
1995-11-30,5.32,5.32,5.32,5.32
1995-12-01,5.29,5.29,5.29,5.29
1995-12-04,5.31,5.31,5.31,5.31
1995-12-05,5.31,5.31,5.31,5.31
1995-12-06,5.32,5.32,5.32,5.32
1995-12-07,5.34,5.34,5.34,5.34
1995-12-08,5.34,5.34,5.34,5.34
1995-12-11,5.33,5.33,5.33,5.33
1995-12-12,5.25,5.25,5.25,5.25
1995-12-13,5.26,5.26,5.26,5.26
1995-12-14,5.26,5.26,5.26,5.26
1995-12-15,5.2,5.2,5.2,5.2
1995-12-18,5.2,5.2,5.2,5.2
1995-12-19,5.09,5.09,5.09,5.09
1995-12-20,5,5,5,5
1995-12-21,4.91,4.91,4.91,4.91
1995-12-22,4.9,4.9,4.9,4.9
1995-12-26,4.86,4.86,4.86,4.86
1995-12-27,4.9,4.9,4.9,4.9
1995-12-28,4.84,4.84,4.84,4.84
1995-12-29,4.96,4.96,4.96,4.96
1996-01-02,4.97,4.97,4.97,4.97
1996-01-03,5.05,5.05,5.05,5.05
1996-01-04,5.04,5.04,5.04,5.04
1996-01-05,5.03,5.03,5.03,5.03
1996-01-08,5.03,5.03,5.03,5.03
1996-01-09,5.01,5.01,5.01,5.01
1996-01-10,5.04,5.04,5.04,5.04
1996-01-11,5.04,5.04,5.04,5.04
1996-01-12,5.05,5.05,5.05,5.05
1996-01-16,5,5,5,5
1996-01-17,4.99,4.99,4.99,4.99
1996-01-18,4.96,4.96,4.96,4.96
1996-01-19,4.96,4.96,4.96,4.96
1996-01-22,4.98,4.98,4.98,4.98
1996-01-23,4.97,4.97,4.97,4.97
1996-01-24,4.97,4.97,4.97,4.97
1996-01-25,4.97,4.97,4.97,4.97
1996-01-26,4.97,4.97,4.97,4.97
1996-01-29,5,5,5,5
1996-01-30,4.99,4.99,4.99,4.99
1996-01-31,4.91,4.91,4.91,4.91
1996-02-01,4.89,4.89,4.89,4.89
1996-02-02,4.85,4.85,4.85,4.85
1996-02-05,4.86,4.86,4.86,4.86
1996-02-06,4.84,4.84,4.84,4.84
1996-02-07,4.8,4.8,4.8,4.8
1996-02-08,4.78,4.78,4.78,4.78
1996-02-09,4.79,4.79,4.79,4.79
1996-02-12,4.8,4.8,4.8,4.8
1996-02-13,4.79,4.79,4.79,4.79
1996-02-14,4.8,4.8,4.8,4.8
1996-02-15,4.78,4.78,4.78,4.78
1996-02-16,4.76,4.76,4.76,4.76
1996-02-20,4.83,4.83,4.83,4.83
1996-02-21,4.82,4.82,4.82,4.82
1996-02-22,4.81,4.81,4.81,4.81
1996-02-23,4.83,4.83,4.83,4.83
1996-02-26,4.85,4.85,4.85,4.85
1996-02-27,4.88,4.88,4.88,4.88
1996-02-28,4.88,4.88,4.88,4.88
1996-02-29,4.89,4.89,4.89,4.89
1996-03-01,4.86,4.86,4.86,4.86
1996-03-04,4.89,4.89,4.89,4.89
1996-03-05,4.89,4.89,4.89,4.89
1996-03-06,4.9,4.9,4.9,4.9
1996-03-07,4.9,4.9,4.9,4.9
1996-03-08,4.88,4.88,4.88,4.88
1996-03-11,4.96,4.96,4.96,4.96
1996-03-12,4.96,4.96,4.96,4.96
1996-03-13,4.96,4.96,4.96,4.96
1996-03-14,4.98,4.98,4.98,4.98
1996-03-15,5.01,5.01,5.01,5.01
1996-03-18,5.03,5.03,5.03,5.03
1996-03-19,5.05,5.05,5.05,5.05
1996-03-20,5.02,5.02,5.02,5.02
1996-03-21,4.94,4.94,4.94,4.94
1996-03-22,4.97,4.97,4.97,4.97
1996-03-25,4.93,4.93,4.93,4.93
1996-03-26,5,5,5,5
1996-03-27,5.03,5.03,5.03,5.03
1996-03-28,5.05,5.05,5.05,5.05
1996-03-29,5,5,5,5
1996-04-01,5.03,5.03,5.03,5.03
1996-04-02,5.02,5.02,5.02,5.02
1996-04-03,5.01,5.01,5.01,5.01
1996-04-04,4.98,4.98,4.98,4.98
1996-04-05,5.02,5.02,5.02,5.02
1996-04-08,5.02,5.02,5.02,5.02
1996-04-09,4.97,4.97,4.97,4.97
1996-04-10,4.95,4.95,4.95,4.95
1996-04-11,4.95,4.95,4.95,4.95
1996-04-12,4.94,4.94,4.94,4.94
1996-04-15,4.87,4.87,4.87,4.87
1996-04-16,4.82,4.82,4.82,4.82
1996-04-17,4.83,4.83,4.83,4.83
1996-04-18,4.85,4.85,4.85,4.85
1996-04-19,4.88,4.88,4.88,4.88
1996-04-22,4.88,4.88,4.88,4.88
1996-04-23,4.97,4.97,4.97,4.97
1996-04-24,5,5,5,5
1996-04-25,4.96,4.96,4.96,4.96
1996-04-26,4.98,4.98,4.98,4.98
1996-04-29,5,5,5,5
1996-04-30,5.01,5.01,5.01,5.01
1996-05-01,4.98,4.98,4.98,4.98
1996-05-02,4.99,4.99,4.99,4.99
1996-05-03,5,5,5,5
1996-05-06,4.99,4.99,4.99,4.99
1996-05-07,5.01,5.01,5.01,5.01
1996-05-08,5,5,5,5
1996-05-09,4.99,4.99,4.99,4.99
1996-05-10,4.99,4.99,4.99,4.99
1996-05-13,5.02,5.02,5.02,5.02
1996-05-14,5.01,5.01,5.01,5.01
1996-05-15,5,5,5,5
1996-05-16,5.01,5.01,5.01,5.01
1996-05-17,5.01,5.01,5.01,5.01
1996-05-20,5.02,5.02,5.02,5.02
1996-05-21,5.04,5.04,5.04,5.04
1996-05-22,5.04,5.04,5.04,5.04
1996-05-23,5.04,5.04,5.04,5.04
1996-05-24,5.04,5.04,5.04,5.04
1996-05-28,5.04,5.04,5.04,5.04
1996-05-29,5.04,5.04,5.04,5.04
1996-05-30,5.04,5.04,5.04,5.04
1996-05-31,5.04,5.04,5.04,5.04
1996-06-03,5.08,5.08,5.08,5.08
1996-06-04,5.08,5.08,5.08,5.08
1996-06-05,5.08,5.08,5.08,5.08
1996-06-06,5.07,5.07,5.07,5.07
1996-06-07,5.12,5.12,5.12,5.12
1996-06-10,5.15,5.15,5.15,5.15
1996-06-11,5.13,5.13,5.13,5.13
1996-06-12,5.12,5.12,5.12,5.12
1996-06-13,5.1,5.1,5.1,5.1
1996-06-14,5.07,5.07,5.07,5.07
1996-06-17,5.05,5.05,5.05,5.05
1996-06-18,5.07,5.07,5.07,5.07
1996-06-19,5.09,5.09,5.09,5.09
1996-06-20,5.12,5.12,5.12,5.12
1996-06-21,5.12,5.12,5.12,5.12
1996-06-24,5.13,5.13,5.13,5.13
1996-06-25,5.1,5.1,5.1,5.1
1996-06-26,5.1,5.1,5.1,5.1
1996-06-27,5.06,5.06,5.06,5.06
1996-06-28,5.04,5.04,5.04,5.04
1996-07-01,5.08,5.08,5.08,5.08
1996-07-02,5.18,5.18,5.18,5.18
1996-07-03,5.1,5.1,5.1,5.1
1996-07-05,5.16,5.16,5.16,5.16
1996-07-08,5.16,5.16,5.16,5.16
1996-07-09,5.2,5.2,5.2,5.2
1996-07-10,5.15,5.15,5.15,5.15
1996-07-11,5.12,5.12,5.12,5.12
1996-07-12,5.14,5.14,5.14,5.14
1996-07-15,5.15,5.15,5.15,5.15
1996-07-16,5.13,5.13,5.13,5.13
1996-07-17,5.12,5.12,5.12,5.12
1996-07-18,5.11,5.11,5.11,5.11
1996-07-19,5.14,5.14,5.14,5.14
1996-07-22,5.15,5.15,5.15,5.15
1996-07-23,5.16,5.16,5.16,5.16
1996-07-24,5.17,5.17,5.17,5.17
1996-07-25,5.15,5.15,5.15,5.15
1996-07-26,5.15,5.15,5.15,5.15
1996-07-29,5.21,5.21,5.21,5.21
1996-07-30,5.2,5.2,5.2,5.2
1996-07-31,5.18,5.18,5.18,5.18
1996-08-01,5.11,5.11,5.11,5.11
1996-08-02,5.07,5.07,5.07,5.07
1996-08-05,5.05,5.05,5.05,5.05
1996-08-06,5.05,5.05,5.05,5.05
1996-08-07,5.04,5.04,5.04,5.04
1996-08-08,5.01,5.01,5.01,5.01
1996-08-09,5.01,5.01,5.01,5.01
1996-08-12,5.01,5.01,5.01,5.01
1996-08-13,5.03,5.03,5.03,5.03
1996-08-14,5.02,5.02,5.02,5.02
1996-08-15,5.05,5.05,5.05,5.05
1996-08-16,5.04,5.04,5.04,5.04
1996-08-19,5.05,5.05,5.05,5.05
1996-08-20,5.04,5.04,5.04,5.04
1996-08-21,5.01,5.01,5.01,5.01
1996-08-22,5,5,5,5
1996-08-23,5.01,5.01,5.01,5.01
1996-08-26,5.06,5.06,5.06,5.06
1996-08-27,5.06,5.06,5.06,5.06
1996-08-28,5.06,5.06,5.06,5.06
1996-08-29,5.1,5.1,5.1,5.1
1996-08-30,5.15,5.15,5.15,5.15
1996-09-03,5.17,5.17,5.17,5.17
1996-09-04,5.18,5.18,5.18,5.18
1996-09-05,5.2,5.2,5.2,5.2
1996-09-06,5.19,5.19,5.19,5.19
1996-09-09,5.13,5.13,5.13,5.13
1996-09-10,5.15,5.15,5.15,5.15
1996-09-11,5.17,5.17,5.17,5.17
1996-09-12,5.14,5.14,5.14,5.14
1996-09-13,5.07,5.07,5.07,5.07
1996-09-16,5.05,5.05,5.05,5.05
1996-09-17,5.17,5.17,5.17,5.17
1996-09-18,5.14,5.14,5.14,5.14
1996-09-19,5.11,5.11,5.11,5.11
1996-09-20,5.15,5.15,5.15,5.15
1996-09-23,5.15,5.15,5.15,5.15
1996-09-24,5.03,5.03,5.03,5.03
1996-09-25,4.94,4.94,4.94,4.94
1996-09-26,4.87,4.87,4.87,4.87
1996-09-27,4.91,4.91,4.91,4.91
1996-09-30,4.91,4.91,4.91,4.91
1996-10-01,4.97,4.97,4.97,4.97
1996-10-02,4.9,4.9,4.9,4.9
1996-10-03,4.91,4.91,4.91,4.91
1996-10-04,4.88,4.88,4.88,4.88
1996-10-07,4.93,4.93,4.93,4.93
1996-10-08,4.99,4.99,4.99,4.99
1996-10-09,4.99,4.99,4.99,4.99
1996-10-10,5.01,5.01,5.01,5.01
1996-10-11,5,5,5,5
1996-10-15,5.03,5.03,5.03,5.03
1996-10-16,5.01,5.01,5.01,5.01
1996-10-17,4.98,4.98,4.98,4.98
1996-10-18,4.98,4.98,4.98,4.98
1996-10-21,4.99,4.99,4.99,4.99
1996-10-22,5.02,5.02,5.02,5.02
1996-10-23,5,5,5,5
1996-10-24,5,5,5,5
1996-10-25,5,5,5,5
1996-10-28,5.05,5.05,5.05,5.05
1996-10-29,5.01,5.01,5.01,5.01
1996-10-30,5.01,5.01,5.01,5.01
1996-10-31,5.03,5.03,5.03,5.03
1996-11-01,5.03,5.03,5.03,5.03
1996-11-04,5.02,5.02,5.02,5.02
1996-11-05,5.03,5.03,5.03,5.03
1996-11-06,5.03,5.03,5.03,5.03
1996-11-07,5.02,5.02,5.02,5.02
1996-11-08,5.04,5.04,5.04,5.04
1996-11-12,5.04,5.04,5.04,5.04
1996-11-13,5.03,5.03,5.03,5.03
1996-11-14,5.03,5.03,5.03,5.03
1996-11-15,5.02,5.02,5.02,5.02
1996-11-18,5.03,5.03,5.03,5.03
1996-11-19,5.03,5.03,5.03,5.03
1996-11-20,5.03,5.03,5.03,5.03
1996-11-21,5.04,5.04,5.04,5.04
1996-11-22,5.04,5.04,5.04,5.04
1996-11-25,5.03,5.03,5.03,5.03
1996-11-26,5.03,5.03,5.03,5.03
1996-11-27,5.02,5.02,5.02,5.02
1996-11-29,5,5,5,5
1996-12-02,4.95,4.95,4.95,4.95
1996-12-03,4.92,4.92,4.92,4.92
1996-12-04,4.9,4.9,4.9,4.9
1996-12-05,4.91,4.91,4.91,4.91
1996-12-06,4.9,4.9,4.9,4.9
1996-12-09,4.86,4.86,4.86,4.86
1996-12-10,4.83,4.83,4.83,4.83
1996-12-11,4.83,4.83,4.83,4.83
1996-12-12,4.84,4.84,4.84,4.84
