,ic
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,0.061179087875417135
2089,0.13592880978865407
2090,0.1768631813125695
2091,0.24849833147942155
2092,0.25739710789766407
2093,0.26941045606229147
2094,0.26941045606229147
2095,0.21201334816462733
2096,0.10166852057842046
2097,0.0843159065628476
2098,0.1403781979977753
2099,0.18264738598442715
2100,0.13904338153503895
2101,0.2186874304783092
2102,0.2671857619577308
2103,0.28898776418242494
2104,0.35572858731924356
2105,0.421579532814238
2106,0.3125695216907675
2107,0.28587319243604004
2108,0.33170189098998887
2109,0.29699666295884314
2110,0.39265850945494996
2111,0.42246941045606223
2112,0.5167964404894326
2113,0.502169321162803
2114,0.5081766635072406
2115,0.5250862197360279
2116,0.6416731600502985
2117,0.665702529428049
2118,0.6928468170584707
2119,0.617421296511643
2120,0.6450105724638749
2121,0.6937367937020912
2122,0.7013015951728644
2123,0.7150962331489804
2124,0.6390032301194373
2125,0.6069640709491034
2126,0.5838246782149733
2127,0.5804872658013969
2128,0.5569028847454567
2129,0.5731449584915288
2130,0.4481032400628645
2131,0.35999555234444625
2132,0.36533541220616855
2133,0.37534764944689786
2134,0.34063856034570283
2135,0.23161642150220554
2136,0.21626432439975385
2137,0.23272889230673102
2138,0.23673378720302277
2139,0.23851374049026353
2140,0.20803204044626528
2141,0.19001001341295246
2142,0.15639599555061176
2143,0.15506117908787542
2144,0.12258064516129033
2145,0.09499443826473859
2146,0.06206896551724137
2147,0.016240266963292546
2148,0.0064516129032258064
2149,0.07408231368186874
2150,-0.02246941045606229
2151,-0.12480533926585094
2152,-0.20756395995550608
2153,-0.23159065628476083
2154,-0.056729699666295874
2155,0.004226918798665183
2156,0.0037819799777530586
2157,0.09098998887652948
2158,0.06874304783092325
2159,0.040711902113459396
2160,0.17864293659621802
2161,0.16618464961067853
2162,0.17285873192436038
2163,0.19154616240266964
2164,0.28587319243604004
2165,0.3032258064516129
2166,0.33704115684093433
2167,0.33926585094549494
2168,0.2983314794215795
2169,0.2978865406006674
2170,0.3739710789766407
2171,0.36106785317018913
2172,0.3196885428253615
2173,0.2289210233592881
2174,0.26807563959955505
2175,0.3067853170189099
2176,0.2671857619577308
2177,0.26941045606229147
2178,0.13948832035595105
2179,0.17953281423804227
2180,0.16173526140155728
