,ic
5347,
5348,
5349,
5350,
5351,
5352,
5353,
5354,
5355,
5356,
5357,
5358,
5359,
5360,
5361,
5362,
5363,
5364,
5365,
5366,
5367,
5368,
5369,
5370,
5371,
5372,
5373,
5374,
5375,
5376,0.12525027808676306
5377,0.17597330367074526
5378,0.2507230255839822
5379,0.2164627363737486
5380,0.16974416017797553
5381,0.1635150166852058
5382,0.15639599555061176
5383,0.1959955506117909
5384,0.21201334816462733
5385,0.3414905450500556
5386,0.35795328142380417
5387,0.2925472747497219
5388,0.30055617352614017
5389,0.3147942157953281
5390,0.32547274749721916
5391,0.3348164627363737
5392,0.30055617352614017
5393,0.2703003337041157
5394,0.30856507230255836
5395,0.30589543937708563
5396,0.30189098998887653
5397,0.28720800889877635
5398,0.27786429365962184
5399,0.2729699666295884
5400,0.27875417130144603
5401,0.27875417130144603
5402,0.2511679644048943
5403,0.2596218020022247
5404,0.27474972191323693
5405,0.3419354838709677
5406,0.3561735261401557
5407,0.33793103448275863
5408,0.33303670745272523
5409,0.3432703003337041
5410,0.439377085650723
5411,0.48609566184649605
5412,0.4282536151279199
5413,0.4269187986651835
5414,0.4282536151279199
5415,0.3699666295884316
5416,0.32769744160177977
5417,0.4522803114571746
5418,0.5470522803114571
5419,0.4518353726362625
5420,0.5021134593993326
5421,0.3681868743047831
5422,0.40511679644048937
5423,0.3842046718576196
5424,0.34949944382647385
5425,0.3477196885428253
5426,0.3508342602892102
5427,0.32057842046718577
5428,0.3561735261401557
5429,0.29744160177975526
5430,0.2756395995550612
5431,0.21423804226918797
5432,0.2551724137931034
5433,0.31123470522803115
5434,0.23381535038932147
5435,0.2569521690767519
5436,0.22313681868743046
5437,0.21557285873192436
5438,0.17552836484983317
5439,0.20934371523915463
5440,0.18531701890989988
5441,0.08164627363737487
5442,0.18175750834260287
5443,0.13948832035595105
5444,0.1479421579532814
5445,0.1421579532814238
5446,0.1982202447163515
5447,0.185761957730812
5448,0.047385984427141266
5449,0.08921023359288098
5450,0.08342602892102337
5451,0.1581757508342603
5452,0.13281423804226916
5453,0.15595105672969967
5454,0.1804226918798665
5455,0.2462736373748609
5456,0.2525027808676307
5457,0.22180200222469412
5458,0.16929922135706338
5459,0.16440489432703
5460,0.21112347052280311
5461,0.08921023359288098
5462,0.05761957730812013
5463,0.11012235817575085
5464,0.26273637374860953
5465,0.22847608453837595
5466,0.24805339265850945
5467,0.2449388209121246
5468,0.2186874304783092
5469,0.13637374860956616
5470,0.060289210233592884
5471,0.03626251390433815
5472,0.04872080088987764
5473,0.0353726362625139
5474,0.09232480533926585
5475,0.12880978865406006
5476,0.17285873192436038
5477,0.21290322580645163
5478,0.13815350389321468
5479,0.1408231368186874
5480,0.08654060066740822
5481,0.06518353726362626
5482,-0.016240266963292546
5483,-0.16395995550611792
5484,-0.19243604004449388
5485,-0.1096774193548387
5486,-0.040711902113459396
5487,-0.03937708565072302
5488,-0.05272525027808676
5489,0.057174638487208
5490,0.0389321468298109
5491,0.11857619577308119
5492,0.13592880978865407
5493,0.10745272525027807
5494,0.06874304783092325
5495,0.09721913236929922
5496,0.11768631813125695
5497,0.13993325917686317
5498,0.11991101223581756
5499,0.21423804226918797
5500,0.2293659621802002
5501,0.26807563959955505
5502,0.17241379310344826
5503,0.1479421579532814
5504,0.09499443826473859
5505,0.0424916573971079
5506,0.030478309232480537
5507,0.02246941045606229
5508,0.11480698702702984
5509,0.07653799135135322
5510,0.06387714854976095
5511,0.029601605425498976
5512,0.07367016087097866
5513,0.1653683671514717
5514,0.16547894447385914
5515,0.08405817995643705
5516,0.06131564850933737
5517,0.06409875870623845
5518,0.027917577833727548
5519,-0.08777286470923942
5520,0.022557402889651863
5521,-0.007387653527486476
5522,-0.06265717734174514
5523,-0.04985624863751764
5524,0.013923817187054474
5525,-0.10105996345442765
5526,-0.08848361244676554
5527,-0.16169594152708425
5528,-0.1464246581606374
5529,-0.1028565850269508
5530,-0.037279897629855535
5531,-0.03817820841611711
5532,0.11318715906895897
5533,0.18684864354240846
5534,0.17472144792787714
5535,0.19807752837067819
5536,0.14036106035337176
5537,0.09335307639278363
5538,0.01072034988815138
5539,-0.013400437360189227
