side,entry_time,entry_price,exit_time,exit_price,holding_days,exit_reason,trade_return
1,2015-10-04,239.73,2015-10-04,239.5,0,intraday_close,-0.000959412672589921
1,2015-10-06,242.01,2015-10-06,247.36,0,intraday_close,0.022106524523780147
1,2015-10-07,247.35,2015-10-07,244.0,0,intraday_close,-0.013543561754598699
1,2015-10-08,244.0,2015-10-08,243.0,0,intraday_close,-0.004098360655737654
1,2015-10-10,244.93,2015-10-10,246.01,0,intraday_close,0.00440942310047765
1,2015-10-12,247.92,2015-10-12,246.17,0,intraday_close,-0.00705872862213619
1,2015-10-14,251.08,2015-10-14,253.5,0,intraday_close,0.009638362274972057
1,2015-10-15,253.5,2015-10-15,255.19,0,intraday_close,0.006666666666666599
1,2015-10-16,255.19,2015-10-16,263.45,0,intraday_close,0.03236803949998035
1,2015-10-17,263.47,2015-10-17,272.9,0,intraday_close,0.03579155122025268
1,2015-10-18,272.9,2015-10-18,265.01,0,intraday_close,-0.028911689263466434
1,2015-10-19,265.29,2015-10-19,265.1,0,intraday_close,-0.0007161973689170376
1,2015-10-20,265.02,2015-10-20,270.97,0,intraday_close,0.022451135763338792
1,2015-10-21,270.99,2015-10-21,267.8,0,intraday_close,-0.011771652090483031
1,2015-10-23,275.83,2015-10-23,279.21,0,intraday_close,0.012253924518725201
1,2015-10-24,279.04,2015-10-24,284.19,0,intraday_close,0.018456135321100797
1,2015-10-25,284.19,2015-10-25,284.79,0,intraday_close,0.00211126359125946
1,2015-10-26,284.7,2015-10-26,287.22,0,intraday_close,0.00885142255005289
1,2015-10-27,287.22,2015-10-27,295.29,0,intraday_close,0.0280969291832045
1,2015-10-28,295.29,2015-10-28,304.5,0,intraday_close,0.031189677943716188
1,2015-10-29,304.5,2015-10-29,314.88,0,intraday_close,0.034088669950739
1,2015-10-30,314.23,2015-10-30,328.19,0,intraday_close,0.0444260573465296
1,2015-10-31,328.2,2015-10-31,316.0,0,intraday_close,-0.03717245581962214
1,2015-11-01,316.0,2015-11-01,330.23,0,intraday_close,0.04503164556962025
1,2015-11-02,330.23,2015-11-02,365.33,0,intraday_close,0.10628955576416432
1,2015-11-03,365.08,2015-11-03,405.0,0,intraday_close,0.10934589678974471
1,2015-11-04,404.98,2015-11-04,409.24,0,intraday_close,0.01051903797718401
1,2015-11-06,387.93,2015-11-06,375.56,0,intraday_close,-0.03188719614363422
1,2015-11-07,375.56,2015-11-07,384.99,0,intraday_close,0.025109170305676942
1,2015-11-30,373.84,2015-11-30,376.88,0,intraday_close,0.008131821099935932
1,2015-12-10,418.86,2015-12-10,414.94,0,intraday_close,-0.009358735615718872
1,2015-12-11,414.88,2015-12-11,457.0,0,intraday_close,0.10152333204782105
1,2015-12-15,442.55,2015-12-15,466.01,0,intraday_close,0.05301095921364807
1,2015-12-16,466.43,2015-12-16,454.94,0,intraday_close,-0.024633921488754984
1,2015-12-17,454.94,2015-12-17,455.57,0,intraday_close,0.0013847979953400813
-1,2016-01-14,431.09,2016-01-14,429.25,0,intraday_close,0.004286546301689009
-1,2016-01-15,429.27,2016-01-15,359.16,0,intraday_close,0.19520547945205458
1,2016-01-16,359.16,2016-01-16,388.4,0,intraday_close,0.08141218398485339
-1,2016-01-21,419.65,2016-01-21,411.01,0,intraday_close,0.021021386340964954
-1,2016-01-23,381.0,2016-01-23,385.57,0,intraday_close,-0.011852581891744651
-1,2016-01-26,390.91,2016-01-26,391.41,0,intraday_close,-0.0012774328709026506
-1,2016-01-28,394.7,2016-01-28,378.39,0,intraday_close,0.043103676101377
-1,2016-01-30,377.4,2016-01-30,376.56,0,intraday_close,0.0022307202039515417
-1,2016-02-03,372.9,2016-02-03,368.98,0,intraday_close,0.010623882053227618
-1,2016-02-06,386.54,2016-02-06,373.75,0,intraday_close,0.034220735785953194
-1,2016-02-09,370.29,2016-02-09,374.31,0,intraday_close,-0.010739761160535322
-1,2016-02-11,380.97,2016-02-11,377.99,0,intraday_close,0.00788380644990605
-1,2016-03-17,417.28,2016-03-17,418.75,0,intraday_close,-0.0035104477611941354
-1,2016-03-24,418.12,2016-03-24,415.3,0,intraday_close,0.006790272092463301
-1,2016-04-08,422.29,2016-04-08,418.5,0,intraday_close,0.009056152927120698
-1,2016-04-28,445.14,2016-04-28,450.46,0,intraday_close,-0.01181014962482796
-1,2016-05-05,447.22,2016-05-05,448.4,0,intraday_close,-0.002631578947368318
-1,2016-05-20,434.99,2016-05-20,441.57,0,intraday_close,-0.014901374640487353
-1,2016-05-24,443.53,2016-05-24,445.03,0,intraday_close,-0.0033705592881378976
-1,2016-05-25,445.0,2016-05-25,449.09,0,intraday_close,-0.009107305885234562
-1,2016-05-26,449.09,2016-05-26,453.95,0,intraday_close,-0.0107060248926093
1,2016-05-31,533.14,2016-05-31,530.69,0,intraday_close,-0.00459541583824119
1,2016-06-01,530.69,2016-06-01,536.79,0,intraday_close,0.011494469464282231
1,2016-06-02,536.91,2016-06-02,538.8,0,intraday_close,0.0035201430407330037
1,2016-06-03,538.9,2016-06-03,570.87,0,intraday_close,0.059324550009278276
1,2016-06-04,570.82,2016-06-04,572.87,0,intraday_close,0.003591324760870318
1,2016-06-05,573.08,2016-06-05,574.02,0,intraday_close,0.0016402596496125632
1,2016-06-06,574.01,2016-06-06,585.34,0,intraday_close,0.01973833208480702
1,2016-06-07,585.59,2016-06-07,576.88,0,intraday_close,-0.014873887873768421
1,2016-06-08,577.23,2016-06-08,583.05,0,intraday_close,0.010082636037627823
1,2016-06-09,583.26,2016-06-09,575.52,0,intraday_close,-0.013270239687275032
1,2016-06-12,614.51,2016-06-12,672.0,0,intraday_close,0.09355421392654306
1,2016-06-13,671.98,2016-06-13,705.87,0,intraday_close,0.050433048602636976
1,2016-06-15,684.5,2016-06-15,696.99,0,intraday_close,0.018246895544192787
1,2016-06-16,698.0,2016-06-16,769.5,0,intraday_close,0.10243553008595985
1,2016-06-17,769.46,2016-06-17,747.95,0,intraday_close,-0.027954669508486463
1,2016-06-18,747.7,2016-06-18,757.6,0,intraday_close,0.013240604520529553
1,2016-06-23,605.87,2016-06-23,625.8,0,intraday_close,0.03289484542888732
-1,2016-07-21,666.21525,2016-07-21,665.785,0,intraday_close,0.0006462296386970934
-1,2016-07-26,655.2675,2016-07-26,651.765,0,intraday_close,0.005373869416124055
-1,2016-07-28,656.68225,2016-07-28,655.98,0,intraday_close,0.0010705356870635008
1,2016-08-03,537.66975,2016-08-03,570.15,0,intraday_close,0.06040929399505912
-1,2016-08-11,592.915,2016-08-11,587.285,0,intraday_close,0.009586486969699548
-1,2016-08-16,566.6875,2016-08-16,577.8325,0,intraday_close,-0.019287596319002454
-1,2016-08-23,585.23,2016-08-23,581.9975,0,intraday_close,0.005554147569362566
-1,2016-08-25,579.41975,2016-08-25,576.05,0,intraday_close,0.005849752625640248
-1,2016-09-01,573.805,2016-09-01,571.9525,0,intraday_close,0.0032389053286767666
-1,2016-09-29,604.53725,2016-09-29,605.95725,0,intraday_close,-0.0023433996375158417
-1,2016-09-30,605.95475,2016-09-30,609.675,0,intraday_close,-0.006102021568868632
-1,2016-12-01,742.294,2016-12-01,753.00475,0,intraday_close,-0.014224013859142293
-1,2016-12-08,764.44275,2016-12-08,767.687,0,intraday_close,-0.004226006171786145
1,2016-12-23,858.4875,2016-12-23,916.14,0,intraday_close,0.06715589918315645
1,2016-12-24,916.2675,2016-12-24,894.18,0,intraday_close,-0.024105951591647745
1,2016-12-25,894.18475,2016-12-25,895.14225,0,intraday_close,0.0010708077944743266
1,2016-12-26,895.09475,2016-12-26,901.61775,0,intraday_close,0.007287496658873183
1,2016-12-27,901.79525,2016-12-27,930.2575,0,intraday_close,0.031561765267670294
1,2016-12-28,930.2555,2016-12-28,979.65775,0,intraday_close,0.05310610902058621
1,2016-12-30,972.1025,2016-12-30,961.29225,0,intraday_close,-0.011120483693849104
1,2016-12-31,961.46975,2016-12-31,970.4175,0,intraday_close,0.00930632502998674
1,2017-01-01,970.3925,2017-01-01,996.34775,0,intraday_close,0.02674716673923183
1,2017-01-02,997.19425,2017-01-02,1015.50275,0,intraday_close,0.01836001360818118
1,2017-01-03,1015.23525,2017-01-03,1032.2975,0,intraday_close,0.01680620329130611
1,2017-01-04,1032.63475,2017-01-04,1130.39975,0,intraday_close,0.09467529540333608
1,2017-01-05,1130.46475,2017-01-05,1005.6425,0,intraday_close,-0.11041675558658515
1,2017-01-12,784.3,2017-01-12,808.3385,0,intraday_close,0.03064962386841774
1,2017-02-04,1016.885,2017-02-04,1032.77575,0,intraday_close,0.015626889962975232
1,2017-02-08,1053.7325,2017-02-08,1054.2095,0,intraday_close,0.000452676556905951
1,2017-02-24,1182.03525,2017-02-24,1183.9425,0,intraday_close,0.0016135305609541462
1,2017-02-25,1183.91975,2017-02-25,1151.451,0,intraday_close,-0.027424789560272167
1,2017-03-02,1227.975,2017-03-02,1260.105,0,intraday_close,0.026165027789653683
1,2017-03-03,1260.245,2017-03-03,1285.79225,0,intraday_close,0.020271653527687228
1,2017-03-04,1285.8425,2017-03-04,1266.309,0,intraday_close,-0.015191207321269884
1,2017-03-19,963.87475,2017-03-19,1016.50675,0,intraday_close,0.05460460500703035
1,2017-03-20,1012.5125,2017-03-20,1038.1325,0,intraday_close,0.025303391316156443
-1,2017-03-22,1113.1525,2017-03-22,1035.5275,0,intraday_close,0.07496179483403376
-1,2017-03-23,1036.915,2017-03-23,1027.955,0,intraday_close,0.00871633485901624
1,2017-03-25,930.14425,2017-03-25,959.39475,0,intraday_close,0.03144727282891879
1,2017-04-28,1340.57575,2017-04-28,1339.9675,0,intraday_close,-0.00045372296194379214
1,2017-04-30,1347.18925,2017-04-30,1362.02675,0,intraday_close,0.011013671612952747
1,2017-05-01,1361.5115,2017-05-01,1416.3535,0,intraday_close,0.040280232667884164
1,2017-05-02,1416.35425,2017-05-02,1459.97,0,intraday_close,0.03079437930164719
1,2017-05-03,1459.74525,2017-05-03,1516.94225,0,intraday_close,0.039182864270324025
1,2017-05-04,1516.9495,2017-05-04,1546.50875,0,intraday_close,0.019485981570249944
1,2017-05-05,1546.062,2017-05-05,1532.79025,0,intraday_close,-0.008584228834289886
1,2017-05-06,1531.90075,2017-05-06,1564.9555,0,intraday_close,0.02157760546823928
1,2017-05-07,1563.9855,2017-05-07,1567.7285,0,intraday_close,0.002393244694404162
1,2017-05-08,1568.2035,2017-05-08,1679.74725,0,intraday_close,0.07112836439913561
1,2017-05-09,1679.36375,2017-05-09,1720.49225,0,intraday_close,0.02449052505748095
1,2017-05-10,1720.44025,2017-05-10,1785.7075,0,intraday_close,0.03793636541577072
1,2017-05-11,1786.18225,2017-05-11,1834.13475,0,intraday_close,0.026846364641681886
1,2017-05-12,1833.23275,2017-05-12,1694.987,0,intraday_close,-0.07541091004401912
1,2017-05-13,1694.6795,2017-05-13,1783.725,0,intraday_close,0.05254415362904896
1,2017-05-14,1783.8025,2017-05-14,1791.51,0,intraday_close,0.004320825876183099
1,2017-05-15,1791.0825,2017-05-15,1733.9275,0,intraday_close,-0.03191086954397693
1,2017-05-19,1893.25525,2017-05-19,1965.25825,0,intraday_close,0.038031321978375665
1,2017-05-20,1965.52825,2017-05-20,2039.82475,0,intraday_close,0.03779976197238577
1,2017-05-21,2039.0985,2017-05-21,2027.914,0,intraday_close,-0.005485021934938494
1,2017-05-22,2026.94175,2017-05-22,2102.6455,0,intraday_close,0.03734875459543918
1,2017-05-23,2099.843,2017-05-23,2257.54175,0,intraday_close,0.07510025749544136
1,2017-05-24,2258.45875,2017-05-24,2426.00125,0,intraday_close,0.07418444104856903
1,2017-05-25,2424.485,2017-05-25,2309.3925,0,intraday_close,-0.0474709061924492
1,2017-05-27,2257.06025,2017-05-27,2061.69,0,intraday_close,-0.08655960779070915
1,2017-06-02,2411.47025,2017-06-02,2484.78825,0,intraday_close,0.03040385839302817
1,2017-06-03,2484.3505,2017-06-03,2548.40475,0,intraday_close,0.02578309703079351
-1,2017-06-28,2562.5,2017-06-28,2555.50275,0,intraday_close,0.002738110925531112
-1,2017-06-30,2536.3835,2017-06-30,2455.4225,0,intraday_close,0.032972329609262774
-1,2017-07-08,2500.832,2017-07-08,2551.69925,0,intraday_close,-0.01993465726809307
-1,2017-07-09,2551.43925,2017-07-09,2502.82275,0,intraday_close,0.019424667607804036
-1,2017-07-10,2503.035,2017-07-10,2330.78225,0,intraday_close,0.07390340732172618
-1,2017-07-13,2381.49625,2017-07-13,2339.968,0,intraday_close,0.017747358083529452
-1,2017-07-14,2340.53025,2017-07-14,2214.94925,0,intraday_close,0.05669701010079553
-1,2017-07-15,2213.912,2017-07-15,1968.5575,0,intraday_close,0.12463669463553884
1,2017-07-16,1968.04475,2017-07-16,1910.16225,0,intraday_close,-0.029411170655545327
1,2017-07-17,1909.64,2017-07-17,2226.815,0,intraday_close,0.16609151463103
-1,2017-07-18,2226.8025,2017-07-18,2306.755,0,intraday_close,-0.03466016113544801
-1,2017-07-19,2307.86525,2017-07-19,2260.872,0,intraday_close,0.02078545357720385
-1,2017-07-20,2260.947,2017-07-20,2873.343,0,intraday_close,-0.21313014144151943
-1,2017-07-27,2525.54725,2017-07-27,2667.4255,0,intraday_close,-0.05318920809597105
1,2017-08-08,3393.0625,2017-08-08,3421.6175,0,intraday_close,0.008415701154929955
1,2017-08-12,3654.372,2017-08-12,3869.2565,0,intraday_close,0.05880203219595592
1,2017-08-13,3870.3575,2017-08-13,4061.17,0,intraday_close,0.04930100126409509
1,2017-08-14,4061.17,2017-08-14,4325.198,0,intraday_close,0.06501279188017262
1,2017-08-15,4327.45025,2017-08-15,4160.66,0,intraday_close,-0.03854238416721256
1,2017-08-16,4160.14,2017-08-16,4369.215,0,intraday_close,0.050256722129543574
1,2017-08-17,4363.255,2017-08-17,4282.99,0,intraday_close,-0.018395670204927383
1,2017-08-19,4108.55,2017-08-19,4145.45075,0,intraday_close,0.008981453310778598
1,2017-09-15,3243.7025,2017-09-15,3722.37,0,intraday_close,0.14756824955432868
-1,2017-09-21,3866.2925,2017-09-21,3618.79,0,intraday_close,0.06839371723697707
-1,2017-09-24,3785.39,2017-09-24,3668.48,0,intraday_close,0.03186878489183531
-1,2017-09-25,3668.5025,2017-09-25,3919.565,0,intraday_close,-0.06405366411833968
1,2017-10-11,4749.88,2017-10-11,4818.3625,0,intraday_close,0.014417732658509319
1,2017-10-12,4818.2125,2017-10-12,5438.095,0,intraday_close,0.128654039231354
1,2017-10-13,5437.87,2017-10-13,5638.67,0,intraday_close,0.03692622295126591
1,2017-10-14,5635.3575,2017-10-14,5805.1025,0,intraday_close,0.030121425304428406
1,2017-10-15,5803.5325,2017-10-15,5687.0025,0,intraday_close,-0.020079150069375995
1,2017-10-16,5686.3575,2017-10-16,5746.995,0,intraday_close,0.010663680572317036
1,2017-10-17,5748.59,2017-10-17,5597.5175,0,intraday_close,-0.026279922554922175
1,2017-10-18,5596.175,2017-10-18,5576.305,0,intraday_close,-0.0035506394993007895
1,2017-10-19,5576.4975,2017-10-19,5698.2525,0,intraday_close,0.021833597163811058
1,2017-10-20,5700.5275,2017-10-20,5987.355,0,intraday_close,0.050315957602169226
1,2017-10-21,5985.1475,2017-10-21,6023.475,0,intraday_close,0.006403768662343046
1,2017-10-22,6022.02,2017-10-22,5986.655,0,intraday_close,-0.005872614172653168
1,2017-10-23,5983.725,2017-10-23,5894.89,0,intraday_close,-0.014846103388775345
1,2017-11-01,6442.4775,2017-11-01,6752.05,0,intraday_close,0.04805177821730844
1,2017-11-02,6752.9125,2017-11-02,7028.69,0,intraday_close,0.04083830495360319
1,2017-11-03,7031.9425,2017-11-03,7156.8525,0,intraday_close,0.017763228297159595
1,2017-11-04,7156.4575,2017-11-04,7385.7075,0,intraday_close,0.03203400565153913
1,2017-11-06,7383.5975,2017-11-06,6970.3625,0,intraday_close,-0.05596662060736646
1,2017-11-09,7464.64,2017-11-09,7151.9725,0,intraday_close,-0.041886480794787184
1,2017-11-13,5861.4375,2017-11-13,6534.585,0,intraday_close,0.11484341511787854
1,2017-11-17,7823.41,2017-11-17,7690.6425,0,intraday_close,-0.01697054097893369
1,2017-11-25,8199.705,2017-11-25,8745.7775,0,intraday_close,0.06659660317047988
1,2017-11-26,8746.23,2017-11-26,9288.17,0,intraday_close,0.06196269707062374
1,2017-11-27,9290.1525,2017-11-27,9704.9725,0,intraday_close,0.04465158133841185
1,2017-11-28,9709.395,2017-11-28,9889.88,0,intraday_close,0.018588696824055395
1,2017-11-29,9897.0825,2017-11-29,9845.9375,0,intraday_close,-0.005167684517129234
1,2017-11-30,9838.725,2017-11-30,9968.3925,0,intraday_close,0.013179299146993007
1,2017-12-01,9963.125,2017-12-01,10879.1425,0,intraday_close,0.09194078163226904
1,2017-12-02,10876.895,2017-12-02,10897.8125,0,intraday_close,0.0019231131678663083
1,2017-12-03,10898.7325,2017-12-03,11251.5775,0,intraday_close,0.032374865609372305
1,2017-12-04,11253.3025,2017-12-04,11640.9725,0,intraday_close,0.03444944273025641
1,2017-12-05,11640.975,2017-12-05,11710.6875,0,intraday_close,0.005988544773955828
1,2017-12-06,11707.4825,2017-12-06,13796.59,0,intraday_close,0.17844207753460228
1,2017-12-07,13795.39,2017-12-07,16734.75,0,intraday_close,0.21306827860611421
1,2017-12-08,16734.75,2017-12-08,16084.735,0,intraday_close,-0.03884222949252303
1,2017-12-09,16084.7025,2017-12-09,14910.3425,0,intraday_close,-0.07301098668128914
1,2017-12-11,15037.47,2017-12-11,16683.4875,0,intraday_close,0.10946106625649121
1,2017-12-12,16681.0125,2017-12-12,17162.905,0,intraday_close,0.02888868406519074
1,2017-12-16,17615.29,2017-12-16,19423.67,0,intraday_close,0.10265967804106535
-1,2017-12-21,16444.4175,2017-12-21,15584.7025,0,intraday_close,0.05516403024055161
-1,2017-12-27,15799.8725,2017-12-27,15399.215,0,intraday_close,0.026018047023825597
-1,2017-12-28,15403.7275,2017-12-28,14489.3725,0,intraday_close,0.06310521728943064
-1,2017-12-30,14472.9575,2017-12-30,12688.9175,0,intraday_close,0.1405982819259406
1,2017-12-31,12688.915,2017-12-31,13888.3225,0,intraday_close,0.09452403928941111
-1,2018-01-03,14768.6425,2018-01-03,15145.865,0,intraday_close,-0.02490597268627448
-1,2018-01-04,15146.1375,2018-01-04,15188.8125,0,intraday_close,-0.002809633735356143
-1,2018-01-05,15188.815,2018-01-05,16955.8775,0,intraday_close,-0.10421533771991442
-1,2018-01-08,16154.5375,2018-01-08,14999.085,0,intraday_close,0.07703486579348007
-1,2018-01-09,14997.6575,2018-01-09,14469.6625,0,intraday_close,0.036489793732231046
-1,2018-01-10,14467.64,2018-01-10,14908.0475,0,intraday_close,-0.029541594900338253
