,ic
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,0.1764182424916574
30,0.18887652947719688
31,0.15417130144605118
32,0.17997775305895441
33,0.1403781979977753
34,0.19332591768631813
35,0.04872080088987764
36,0.11368186874304784
37,0.15239154616240266
38,0.14482758620689654
39,0.19911012235817574
40,0.22758620689655173
41,0.3388209121245828
42,0.40778642936596216
43,0.4362625139043382
44,0.5159065628476084
45,0.4709677419354839
46,0.3931034482758621
47,0.2596218020022247
48,0.3054505005561735
49,0.28809788654060065
50,0.2832035595105673
51,0.30189098998887653
52,0.2863181312569522
53,0.2703003337041157
54,0.28231368186874306
55,0.2921023359288098
56,0.30233592880978866
57,0.3103448275862069
58,0.3281423804226919
59,0.3659621802002225
60,0.32591768631813123
61,0.24093437152391545
62,0.2956618464961067
63,0.2947719688542826
64,0.2711902113459399
65,0.2916573971078976
66,0.29299221357063404
67,0.2943270300333704
68,0.2502780867630701
69,0.2547274749721913
70,0.20756395995550608
71,0.1621802002224694
72,0.17953281423804227
73,0.14527252502780869
74,0.11679644048943269
75,0.03937708565072302
76,0.11946607341490545
77,0.23559510567296996
78,0.17463848720800887
79,0.16484983314794216
80,0.16662958843159065
81,0.08298109010011123
82,0.08209121245828699
83,0.061179087875417135
84,0.04160177975528365
85,0.08520578420467186
86,-0.004226918798665183
87,-0.006006674082313682
88,-0.034482758620689655
89,-0.013125695216907676
90,0.0064516129032258064
91,0.02736373748609566
92,0.0006674082313681868
93,-0.011790878754171301
94,0.11368186874304784
95,0.1439377085650723
96,0.17597330367074526
97,0.2636262513904338
98,0.30945494994438266
99,0.22180200222469412
100,0.3054505005561735
101,0.39621802002224693
102,0.37486095661846497
103,0.3997775305895439
104,0.33659621802002226
105,0.39888765294771966
106,0.44471635150166855
107,0.41045606229143494
108,0.3797552836484983
109,0.3704115684093437
110,0.3757508342602892
111,0.3388209121245828
112,0.33170189098998887
113,0.34282536151279197
114,0.260511679644049
115,0.24582869855394882
116,0.21601779755283645
117,0.15906562847608455
118,0.1635150166852058
119,0.17597330367074526
120,0.21112347052280311
121,0.14571746384872078
122,0.1657397107897664
123,0.1657397107897664
124,0.1003337041156841
125,0.08698553948832036
126,0.08031145717463849
127,-0.0371523915461624
128,-0.07230255839822024
129,-0.060289210233592884
130,-0.22135706340378197
131,-0.1875417130144605
132,-0.17063403781979977
133,-0.17864293659621802
134,-0.1884315906562848
135,-0.189321468298109
136,-0.2774193548387097
137,-0.2729699666295884
138,-0.24983314794215797
139,-0.23159065628476083
140,-0.31345939933259176
141,-0.32502780867630704
142,-0.3308120133481646
143,-0.34282536151279197
144,-0.2832035595105673
145,-0.25294771968854285
146,-0.23515016685205786
147,-0.2040044493882091
148,-0.2876529477196885
