,ic
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,0.11813125695216908
30,0.10344827586206896
31,0.01757508342602892
32,-0.03759733036707453
33,-0.06518353726362626
34,0.0028921023359288096
35,-0.04916573971078977
36,-0.04160177975528365
37,-0.12658509454949946
38,-0.12302558398220245
39,-0.04916573971078977
40,-0.16129032258064516
41,-0.19377085650723025
42,-0.15372636262513903
43,-0.12169076751946609
44,-0.12258064516129033
45,-0.040266963292547274
46,-0.1096774193548387
47,-0.0771968854282536
48,-0.058064516129032254
49,-0.20311457174638486
50,-0.13058954393770855
51,-0.1835372636262514
52,-0.13281423804226916
53,-0.1657397107897664
54,-0.18665183537263624
55,-0.18264738598442715
56,-0.0914349276974416
57,-0.026918798665183537
58,0.010901001112347052
59,-0.059844271412680755
60,-0.1292547274749722
61,-0.08342602892102337
62,-0.21023359288097884
63,-0.20222469410456062
64,-0.1239154616240267
65,0.008231368186874304
66,-0.021134593993325918
67,-0.018909899888765295
68,-0.05583982202447163
69,-0.09232480533926585
70,-0.11590656284760845
71,-0.03982202447163515
72,-0.01846496106785317
73,-0.040266963292547274
74,-0.02202447163515017
75,-0.020689655172413793
76,0.034482758620689655
77,0.07052280311457175
78,0.1221357063403782
79,0.16173526140155728
80,0.15283648498331479
81,0.18264738598442715
82,0.19777530589543937
83,0.20934371523915463
84,0.18887652947719688
85,0.1292547274749722
86,0.09588431590656285
87,0.07853170189098999
88,0.05050055617352613
89,0.10389321468298107
90,0.04160177975528365
91,-0.05183537263626252
92,-0.014905450500556172
93,0.01668520578420467
94,-0.011345939933259176
95,0.00867630700778643
96,0.05094549499443826
97,0.13147942157953282
98,0.11457174638487205
99,0.11946607341490545
100,0.19288097886540603
101,0.05761957730812013
102,0.038042269187986644
103,0.11279199110122358
104,0.14304783092324808
105,0.07986651835372637
106,0.08832035595105672
107,0.08833018187932334
108,-0.004894871539912124
109,-0.11391701038340943
110,-0.11080209213073809
111,-0.18800756596480658
112,-0.25586828504086107
113,-0.3292913581395429
114,-0.29346979823382235
115,-0.1301590841294815
116,-0.12481922426775917
117,-0.12882411916405093
118,-0.13327400238215284
119,-0.05962843512256588
120,-0.08566025194846218
121,-0.129046613324956
122,-0.08588274610936728
123,-0.017577038711502627
124,0.0022249416090509657
125,0.0031149182526713517
126,-0.03025920588309313
127,-0.14506619291012296
128,-0.14573367539283824
129,-0.064293659621802
130,-0.13192436040044492
131,-0.05361512791991101
132,-0.06785317018909899
133,-0.040711902113459396
134,-0.030926688365808426
135,0.0847702753048418
136,0.1352764498302987
137,0.10255839822024472
138,0.10923248053392658
139,0.21512791991101224
140,0.2342602892102336
141,0.2947719688542826
142,0.32769744160177977
143,0.2293659621802002
144,0.19332591768631813
