side,entry_time,entry_price,exit_time,exit_price,holding_days,exit_reason,trade_return
1,2015-10-06,242.01,2015-10-06,247.36,0,intraday_close,0.022106524523780147
1,2015-10-07,247.35,2015-10-07,244.0,0,intraday_close,-0.013543561754598699
1,2015-10-11,245.93,2015-10-11,247.99,0,intraday_close,0.008376367258976058
1,2015-10-12,247.92,2015-10-12,246.17,0,intraday_close,-0.00705872862213619
1,2015-10-14,251.08,2015-10-14,253.5,0,intraday_close,0.009638362274972057
1,2015-10-15,253.5,2015-10-15,255.19,0,intraday_close,0.006666666666666599
1,2015-10-17,263.47,2015-10-17,272.9,0,intraday_close,0.03579155122025268
1,2015-10-18,272.9,2015-10-18,265.01,0,intraday_close,-0.028911689263466434
1,2015-11-02,330.23,2015-11-02,365.33,0,intraday_close,0.10628955576416432
1,2015-11-14,338.54,2015-11-14,333.37,0,intraday_close,-0.015271459797955966
-1,2015-11-19,335.83,2015-11-19,326.5,0,intraday_close,0.028575803981623293
-1,2015-11-24,323.65,2015-11-24,320.1,0,intraday_close,0.011090284286160434
1,2015-12-04,360.62,2015-12-04,363.17,0,intraday_close,0.007071155232655002
1,2015-12-07,390.88,2015-12-07,396.7,0,intraday_close,0.014889480147359802
1,2015-12-08,397.0,2015-12-08,422.0,0,intraday_close,0.06297229219143574
1,2015-12-09,422.0,2015-12-09,418.73,0,intraday_close,-0.007748815165876777
1,2015-12-10,418.86,2015-12-10,414.94,0,intraday_close,-0.009358735615718872
1,2015-12-12,456.32,2015-12-12,435.61,0,intraday_close,-0.04538481767180924
1,2015-12-18,455.71,2015-12-18,463.52,0,intraday_close,0.017138092207763744
1,2015-12-19,463.51,2015-12-19,462.44,0,intraday_close,-0.002308472309119569
-1,2015-12-30,431.77,2015-12-30,423.55,0,intraday_close,0.019407389918545626
1,2016-01-11,449.34,2016-01-11,449.26,0,intraday_close,-0.00017803890149992174
1,2016-01-14,431.09,2016-01-14,429.25,0,intraday_close,-0.004268250249367833
-1,2016-01-23,381.0,2016-01-23,385.57,0,intraday_close,-0.011852581891744651
-1,2016-02-04,369.0,2016-02-04,389.96,0,intraday_close,-0.05374910247204834
1,2016-02-06,386.54,2016-02-06,373.75,0,intraday_close,-0.0330884255187045
-1,2016-02-08,372.26,2016-02-08,370.49,0,intraday_close,0.004777456881427167
-1,2016-02-10,374.43,2016-02-10,381.17,0,intraday_close,-0.01768239892961143
-1,2016-02-18,414.89,2016-02-18,421.5,0,intraday_close,-0.015682087781731968
-1,2016-03-06,397.37,2016-03-06,403.75,0,intraday_close,-0.0158018575851393
-1,2016-03-07,403.77,2016-03-07,412.7,0,intraday_close,-0.021637993700024283
-1,2016-03-08,412.62,2016-03-08,411.35,0,intraday_close,0.003087395162270523
-1,2016-03-10,412.9,2016-03-10,416.51,0,intraday_close,-0.008667258889342389
-1,2016-03-12,420.49,2016-03-12,410.01,0,intraday_close,0.025560352186532187
-1,2016-03-13,410.01,2016-03-13,411.87,0,intraday_close,-0.0045159880544832776
-1,2016-03-14,412.0,2016-03-14,415.91,0,intraday_close,-0.009401072347382855
