,ic
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,-0.12124582869855395
30,-0.07052280311457175
31,-0.14883203559510566
32,-0.16885428253615126
33,-0.160845383759733
34,-0.05406006674082313
35,-0.22180200222469412
36,-0.12569521690767518
37,-0.15061179087875418
38,-0.15550611790878754
39,-0.064293659621802
40,-0.030478309232480537
41,0.0424916573971079
42,0.11902113459399331
43,0.21601779755283645
44,0.20222469410456062
45,0.23114571746384868
46,0.17953281423804227
47,0.14660734149054505
48,0.17374860956618463
49,0.08520578420467186
50,0.05406006674082313
51,0.06829810901001113
52,-0.005561735261401557
53,0.06651835372636263
54,0.06829810901001113
55,0.09098998887652948
56,0.11056729699666296
57,0.13681868743047831
58,0.16307007786429364
59,0.19021134593993325
60,0.16529477196885425
61,0.07096774193548387
62,0.09588431590656285
63,0.08743047830923248
64,0.07808676307007786
65,0.14838709677419354
66,0.10478309232480533
67,0.10389321468298107
68,0.09232480533926585
69,0.09899888765294772
70,0.04204671857619577
71,-0.03292913581395429
72,-0.03292913581395429
73,-0.04918763006793439
74,-0.038949480823024976
75,-0.051858451610084684
76,-0.0024482530803044264
77,0.054565735391783964
78,-0.004231628458954674
79,0.08880481627649695
80,0.12129981170599204
81,0.12352549632445062
82,0.11729357939276663
83,0.06165146393130237
84,0.07322502394728694
85,0.09815269167402292
86,0.0398397546704084
87,0.01179612847783042
88,-0.012686402325213848
89,-0.06076119008391896
90,0.025150236188581837
91,0.06476742239714438
92,0.034052974662416115
93,0.04963276699162611
94,0.09281104858972236
95,0.07767639318420408
96,0.041175165441483544
97,0.13776987788258546
98,0.18406411794652372
99,0.22056534568924424
100,0.1653683671514717
101,0.2645455573161598
102,0.294804763199253
103,0.32547274749721916
104,0.3308120133481646
105,0.33704115684093433
106,0.34949944382647385
107,0.2987764182424916
108,0.2596218020022247
109,0.22580645161290322
110,0.189321468298109
111,0.10077864293659622
112,0.08387096774193549
113,0.0843159065628476
114,0.10166852057842046
115,-0.005561735261401557
116,-0.01268075639599555
117,-0.06651835372636263
118,-0.0011123470522803117
119,-0.05005561735261402
120,-0.07185761957730812
121,-0.1439377085650723
122,-0.12302558398220245
123,-0.1292547274749722
124,-0.12836484983314794
125,-0.09944382647385984
126,-0.0878754171301446
127,-0.19777530589543937
128,-0.20266963292547271
129,-0.21023359288097884
130,-0.12302558398220245
131,-0.11590656284760845
132,-0.10255839822024472
133,-0.19555061179087874
134,-0.21512791991101224
135,-0.22180200222469412
136,-0.20800889877641823
137,-0.21512791991101224
138,-0.17285873192436038
139,-0.15016685205784203
140,-0.12658509454949946
141,-0.13370411568409346
142,-0.028253615127919914
143,0.01846496106785317
144,-0.07541713014460512
145,-0.07541713014460512
146,-0.08565072302558399
