,ic
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,-0.2
30,-0.1959955506117909
31,-0.19955506117908786
32,-0.1345939933259177
33,-0.10700778642936595
34,-0.23737486095661847
35,-0.2307007786429366
36,-0.2925472747497219
37,-0.21913236929922134
38,-0.16395995550611792
39,-0.19688542825361513
40,-0.09365962180200223
41,-0.07897664071190211
42,-0.14705228031145717
43,-0.182202447163515
44,-0.17330367074527253
45,-0.1911012235817575
46,-0.27875417130144603
47,-0.2569521690767519
48,-0.28898776418242494
49,-0.17597330367074526
50,-0.19421579532814237
51,-0.14927697441601778
52,-0.1003337041156841
53,-0.07942157953281423
54,-0.08832035595105672
55,-0.06340378197997774
56,-0.10567296996662959
57,-0.14660734149054505
58,-0.12880978865406006
59,-0.160845383759733
60,-0.18309232480533927
61,-0.18620689655172412
62,-0.21957730812013349
63,-0.21023359288097884
64,-0.22981090100111232
65,-0.20978865406006672
66,-0.2053392658509455
67,-0.2186874304783092
68,-0.21156840934371526
69,-0.18175750834260287
70,-0.2449388209121246
71,-0.22580645161290322
72,-0.11768631813125695
73,-0.06785317018909899
74,-0.11501668520578419
75,-0.10522803114571745
76,-0.12302558398220245
77,-0.20222469410456062
78,-0.17775305895439378
79,-0.1568409343715239
80,-0.1870967741935484
81,-0.20177975528364847
82,-0.3161290322580645
83,-0.3699666295884316
84,-0.4131256952169076
85,-0.349944382647386
86,-0.3343715239154616
87,-0.3503893214682981
88,-0.3681868743047831
89,-0.37130144605116794
90,-0.24360400444938823
91,-0.3121245828698554
92,-0.27252502780867627
93,-0.31523915461624025
94,-0.3210233592880979
95,-0.349944382647386
96,-0.3414905450500556
97,-0.30233592880978866
98,-0.2511679644048943
99,-0.27875417130144603
100,-0.2489432703003337
101,-0.2556173526140155
102,-0.2796440489432703
103,-0.27341490545050057
104,-0.28186874304783094
105,-0.3045606229143492
106,-0.25917686318131256
107,-0.17419354838709677
108,-0.2004449388209121
109,-0.16307007786429364
110,-0.1657397107897664
111,-0.15417130144605118
112,-0.11724137931034483
113,-0.07675194660734148
114,-0.024249165739710785
115,0.027808676307007785
116,-0.0028921023359288096
117,0.07096774193548387
118,0.053170189098998885
119,0.13726362625139044
120,0.07007786429365963
121,0.12880978865406006
122,0.13058954393770855
123,0.10789766407119021
124,0.040711902113459396
125,0.005116796440489433
126,-0.027808676307007785
127,-0.03759733036707453
128,-0.15239154616240266
129,-0.09232480533926585
130,-0.071412680756396
131,-0.05361512791991101
132,-0.05005561735261402
133,-0.11457174638487205
134,-0.10211345939933258
135,0.0135706340378198
136,-0.025583982202447165
137,-0.05761957730812013
138,0.026028921023359287
139,-0.09410456062291435
140,-0.04427141268075639
141,0.061179087875417135
142,0.08164627363737487
