side,entry_time,entry_price,exit_time,exit_price,holding_days,exit_reason,trade_return
1,2024-10-02,60803.97,2024-10-02,60635.65,0,intraday_close,-0.0027682402974673614
-1,2024-10-09,62142.02,2024-10-09,60601.56,0,intraday_close,0.025419477650410416
1,2024-10-16,67049.61,2024-10-16,67606.05,0,intraday_close,0.008298929702946767
1,2024-10-24,66624.4,2024-10-24,68124.62,0,intraday_close,0.022517576143274765
1,2024-10-31,72325.68,2024-10-31,70272.0,0,intraday_close,-0.028394893763874607
1,2024-11-01,70272.01,2024-11-01,69407.96,0,intraday_close,-0.012295791738417439
1,2024-11-15,87425.27,2024-11-15,91034.61,0,intraday_close,0.0412848596292581
1,2024-11-16,91034.58,2024-11-16,90581.65,0,intraday_close,-0.004975362109651216
1,2024-11-19,90473.64,2024-11-19,92340.41,0,intraday_close,0.020633302694574862
1,2024-11-21,94410.46,2024-11-21,98393.04,0,intraday_close,0.04218367329213302
1,2024-11-24,97769.99,2024-11-24,97985.0,0,intraday_close,0.0021991410656787558
1,2024-12-18,106161.43,2024-12-18,100210.53,0,intraday_close,-0.05605519820145599
1,2024-12-19,100210.62,2024-12-19,97416.84,0,intraday_close,-0.02787908107943049
-1,2025-01-04,98073.62,2025-01-04,98172.57,0,intraday_close,-0.0010079190144458572
-1,2025-01-16,100464.91,2025-01-16,99994.37,0,intraday_close,0.004705664928935649
1,2025-01-25,104880.79,2025-01-25,104736.02,0,intraday_close,-0.0013803290383299638
1,2025-01-26,104736.02,2025-01-26,102603.67,0,intraday_close,-0.020359280408020153
1,2025-01-27,102604.77,2025-01-27,102045.3,0,intraday_close,-0.005452670475261545
1,2025-01-28,102045.99,2025-01-28,101323.48,0,intraday_close,-0.007080239017721368
1,2025-02-03,97677.16,2025-02-03,101310.21,0,intraday_close,0.037194467980027346
-1,2025-02-04,101310.19,2025-02-04,97857.7,0,intraday_close,0.035280718839703074
-1,2025-02-06,96632.02,2025-02-06,96561.76,0,intraday_close,0.0007276172265295866
-1,2025-02-14,96613.76,2025-02-14,97508.09,0,intraday_close,-0.009171854355879638
-1,2025-02-18,95784.7,2025-02-18,95654.59,0,intraday_close,0.0013602065515099238
1,2025-02-22,96193.65,2025-02-22,96495.16,0,intraday_close,0.0031344064810931993
-1,2025-03-01,84273.72,2025-03-01,86027.63,0,intraday_close,-0.020387752167530415
1,2025-03-11,78574.3,2025-03-11,82885.66,0,intraday_close,0.05486984930187089
1,2025-03-14,81090.6,2025-03-14,83939.05,0,intraday_close,0.03512675945177368
-1,2025-03-20,86823.28,2025-03-20,84241.12,0,intraday_close,0.030652014123269122
1,2025-03-27,86921.9,2025-03-27,87238.25,0,intraday_close,0.003639474056595704
1,2025-03-29,84400.34,2025-03-29,82608.28,0,intraday_close,-0.021232852853436346
1,2025-04-03,82519.99,2025-04-03,83166.42,0,intraday_close,0.007833617042367402
1,2025-04-05,83856.79,2025-04-05,83506.02,0,intraday_close,-0.004182964790328758
1,2025-04-07,78387.38,2025-04-07,79109.77,0,intraday_close,0.009215641599451319
-1,2025-04-08,79109.5,2025-04-08,76286.05,0,intraday_close,0.037011353976251105
